Product,Link,Price
"Cobratype Bushmaster Gaming Desktop PC - Intel Core i5 12600K, NVIDIA RTX 3060, 16GB DDR4, 1TB NVMe, AIO Liquid Cooler, Windows 11 Pro",https://www.newegg.com/p/3D5-000D-000Z2?Item=9SIAHT3GRM9504&Description=3070&cm_re=3070-_-9SIAHT3GRM9504-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3GRM9504-_-3070-_-3070-_-6,2199
"Asus ROG 3070 Gaming Desktop, Intel 8-Core i7-11700F, GeForce RTX 3070, 32GB RAM, 2TB PCIe SSD+1TB HDD, RGB, USB-C, Wi-Fi 6, HDMI/DP, RJ-45, Mytrix HDMI 2.1 Cable, Win 10",https://www.newegg.com/p/3D5-000F-00WS3?Description=3070&cm_re=3070-_-3D5-000F-00WS3-_-Product,2389
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD,https://www.newegg.com/p/27N-0022-000E0?Description=3070&cm_re=3070-_-9SIAPMXFG20969-_-Product,1349
"Cobratype Canebrake Gaming Desktop PC - NVIDIA RTX 3070 Ti, Ryzen 5 5600X, 32GB DDR4, 2TB NVMe, Windows 10, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-000V6?Item=9SIAHT3F4D1629&Description=3070&cm_re=3070-_-9SIAHT3F4D1629-_-Product&cm_sp=SP-_-574846-_-0-_-1-_-9SIAHT3F4D1629-_-3070-_-3070-_-9,2749
"Cobratype Boiga Gaming Desktop PC - Intel Core i5-11600K, NVIDIA RTX 3060, 16 GB DDR4, 1 TB NVMe, Windows 11 Pro, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-000Z1?Item=9SIAHT3GM49637&Description=3070&cm_re=3070-_-9SIAHT3GM49637-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3GM49637-_-3070-_-3070-_-10,1999
"Asus ROG 3070 Gaming Desktop, Intel 8-Core i7-11700F, GeForce RTX 3070, 32GB RAM, 1TB PCIe SSD+1TB HDD, RGB, USB-C, Wi-Fi 6, HDMI/DP, RJ-45, Mytrix Webcam, Win 10",https://www.newegg.com/p/3D5-000F-00WS4?Description=3070&cm_re=3070-_-3D5-000F-00WS4-_-Product,2299
MSI Suprim GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti SUPRIM X 8G,https://www.newegg.com/msi-geforce-rtx-3070-ti-rtx-3070-ti-suprim-x-8g/p/N82E16814137665?Description=3070&cm_re=3070-_-14-137-665-_-Product,1274
"CLX SET VR-Ready Gaming Desktop - AMD Ryzen 9 3900X 3.8GHz 12-Core Processor, 16GB DDR4 Memory, GeForce RTX 3070 8GB GDDR6 Graphics, 480GB SSD, 2TB HDD, WiFi, Windows 10 Home 64-bit",https://www.newegg.com/clx-tgmsetrth0c17bm/p/3D5-000B-00204?Description=3070&cm_re=3070-_-3D5-000B-00204-_-Product,2499
GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR),https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070gaming-oc-8gd/p/N82E16814932449?Description=3070&cm_re=3070-_-14-932-449-_-Product,1137
"GIGABYTE AORUS GeForce RTX 3070 MASTER 8G (LHR) Video Card,8GB 256-bit GDDR6 PCI Express 4.0 x16,1845MHz Core Frequency,DisplayPort 1.4a *3,HDMI 2.1*2, HDMI 2.0*1",https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070aorus-m-8gd/p/1FT-000A-00370?Description=3070&cm_re=3070-_-1FT-000A-00370-_-Product,1286
"HP OMEN 25L RTX 3070 Gaming Desktop PC (AMD Ryzen 7 5800X RGB Liquid Cooled Processor, NVIDIA Graphics Card, Windows 10 Home, Glass Window, 512GB PCIe Gen 3 SSD, 16GB HyperX 3200MHz RGB DDR4 RAM)",https://www.newegg.com/hp-omen-25l/p/3D5-0005-00N63?Description=3070&cm_re=3070-_-3D5-0005-00N63-_-Product,2199
"Cobratype Gorgon Gaming Desktop PC - Intel Core i9 12900KF, NVIDIA RTX 3060, 32 GB DDR4, 2 TB NVMe, AIO Liquid Cooler, Windows 11 Pro",https://www.newegg.com/p/3D5-000D-00104?Item=9SIAHT3H0E2192&Description=3070&cm_re=3070-_-9SIAHT3H0E2192-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3H0E2192-_-3070-_-3070-_-17,2849
"Cobratype Titanoboa Gaming Desktop PC - Ryzen 5600X, RTX 3070 Ti, 16GB DDR4, 1TB NVMe, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-000V8?Item=9SIAHT3F4D1773&Description=3070&cm_re=3070-_-9SIAHT3F4D1773-_-Product&cm_sp=SP-_-574846-_-0-_-1-_-9SIAHT3F4D1773-_-3070-_-3070-_-18,2599
"Cobratype Anaconda Gaming Desktop PC - Intel i9-10900F, RTX 3070 Ti, 32GB DDR4, 1TB NVMe - Free AIO Liquid Cooler While Supplies Last",https://www.newegg.com/cobratype-anaconda/p/3D5-000D-000V0?Description=3070&cm_re=3070-_-3D5-000D-000V0-_-Product,2749
"CLX SET Gaming Desktop - Liquid Cooled Intel Core i9 11900KF 3.5GHz 8-Core Processor, 16GB DDR4 Memory, GeForce RTX 3070 Ti 8GB GDDR6X Graphics, 500GB NVMe M.2 SSD, 3TB HDD, WiFi, Win 10 Home 64-bit",https://www.newegg.com/clx-tgmsetrth1661bm/p/3D5-000B-002F0?Description=3070&cm_re=3070-_-3D5-000B-002F0-_-Product,3159
"Cobratype Cascabel Gaming Desktop PC - Ryzen 7 5800X, NVIDIA RTX 3070 Ti, 32GB DDR4, 2TB NVMe, AIO Liquid Cooler",https://www.newegg.com/p/3D5-000D-000W1?Item=9SIAHT3F4D1812&Description=3070&cm_re=3070-_-9SIAHT3F4D1812-_-Product&cm_sp=SP-_-574846-_-0-_-1-_-9SIAHT3F4D1812-_-3070-_-3070-_-21,2879
"Cobratype Poison Gaming Desktop PC - Intel Core i9 11900F, NVIDIA RTX 3070 Ti, 32GB DDR4, 2TB NVMe, Windows 10, Free AIO Liquid Cooler While Supplies Last",https://www.newegg.com/p/3D5-000D-000V3?Item=9SIAHT3F4D1483&Description=3070&cm_re=3070-_-9SIAHT3F4D1483-_-Product&cm_sp=SP-_-574846-_-0-_-0-_-9SIAHT3F4D1483-_-3070-_-3070-_-22,2949
"CLX SET VR-Ready Gaming Desktop - Liquid Cooled AMD Ryzen 9 5900X 3.7Ghz 12-Core Processor, 32GB DDR4 Memory, GeForce RTX 3070 8GB GDDR6 Graphics, 960GB SSD, 4TB HDD, WiFi, Windows 10 Home 64-bit",https://www.newegg.com/p/3D5-000B-001S9?Description=3070&cm_re=3070-_-3D5-000B-001S9-_-Product,3179
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD,https://www.newegg.com/p/1FT-000A-002B7?Description=3070&cm_re=3070-_-1FT-000A-002B7-_-Product,1379
"CLX SET VR-Ready Gaming Desktop - Liquid Cooled Intel Core i9 10900KF 3.7Ghz 10-Core Processor, 32GB DDR4 Memory, GeForce RTX 3070 8GB GDDR6 Graphics, 960GB SSD, 4TB HDD, WiFi, Windows 10 Home 64-bit",https://www.newegg.com/clx-set/p/3D5-000B-001J4?Description=3070&cm_re=3070-_-3D5-000B-001J4-_-Product,3119
